"chr","coord","gene_name","refseqID","rel_location","utr5_st","utr5_end","cds_st","cds_end","utr3_st","utr3_end","utr5_size","cds_size","utr3_size"
"chr1",58782085,"JUN","ENST00000371222.4",1.98995983935743,1962,986,985,-10,-11,-1294,976,995,1283
"chr1",58782091,"JUN","ENST00000371222.4",1.98393574297189,1956,980,979,-16,-17,-1300,976,995,1283
"chr1",58782094,"JUN","ENST00000371222.4",1.98092369477912,1953,977,976,-19,-20,-1303,976,995,1283
"chr1",58782098,"JUN","ENST00000371222.4",1.97690763052209,1949,973,972,-23,-24,-1307,976,995,1283
"chr1",58782109,"JUN","ENST00000371222.4",1.96586345381526,1938,962,961,-34,-35,-1318,976,995,1283
"chr1",58782119,"JUN","ENST00000371222.4",1.95582329317269,1928,952,951,-44,-45,-1328,976,995,1283
"chr1",58782122,"JUN","ENST00000371222.4",1.95281124497992,1925,949,948,-47,-48,-1331,976,995,1283
"chr1",58782127,"JUN","ENST00000371222.4",1.94779116465863,1920,944,943,-52,-53,-1336,976,995,1283
"chr1",58782130,"JUN","ENST00000371222.4",1.94477911646586,1917,941,940,-55,-56,-1339,976,995,1283
"chr1",58782134,"JUN","ENST00000371222.4",1.94076305220884,1913,937,936,-59,-60,-1343,976,995,1283
"chr1",58782142,"JUN","ENST00000371222.4",1.93273092369478,1905,929,928,-67,-68,-1351,976,995,1283
"chr1",58782144,"JUN","ENST00000371222.4",1.93072289156627,1903,927,926,-69,-70,-1353,976,995,1283
"chr1",58782145,"JUN","ENST00000371222.4",1.92971887550201,1902,926,925,-70,-71,-1354,976,995,1283
"chr1",58782146,"JUN","ENST00000371222.4",1.92871485943775,1901,925,924,-71,-72,-1355,976,995,1283
"chr1",58782151,"JUN","ENST00000371222.4",1.92369477911647,1896,920,919,-76,-77,-1360,976,995,1283
"chr1",58782160,"JUN","ENST00000371222.4",1.91465863453815,1887,911,910,-85,-86,-1369,976,995,1283
"chr1",58782162,"JUN","ENST00000371222.4",1.91265060240964,1885,909,908,-87,-88,-1371,976,995,1283
"chr1",58782167,"JUN","ENST00000371222.4",1.90763052208835,1880,904,903,-92,-93,-1376,976,995,1283
"chr1",58782182,"JUN","ENST00000371222.4",1.8925702811245,1865,889,888,-107,-108,-1391,976,995,1283
"chr1",58782193,"JUN","ENST00000371222.4",1.88152610441767,1854,878,877,-118,-119,-1402,976,995,1283
"chr1",58782197,"JUN","ENST00000371222.4",1.87751004016064,1850,874,873,-122,-123,-1406,976,995,1283
"chr1",58782199,"JUN","ENST00000371222.4",1.87550200803213,1848,872,871,-124,-125,-1408,976,995,1283
"chr1",58782293,"JUN","ENST00000371222.4",1.78112449799197,1754,778,777,-218,-219,-1502,976,995,1283
"chr1",58782311,"JUN","ENST00000371222.4",1.76305220883534,1736,760,759,-236,-237,-1520,976,995,1283
"chr1",58782322,"JUN","ENST00000371222.4",1.75200803212851,1725,749,748,-247,-248,-1531,976,995,1283
"chr1",58782332,"JUN","ENST00000371222.4",1.74196787148594,1715,739,738,-257,-258,-1541,976,995,1283
"chr1",58782338,"JUN","ENST00000371222.4",1.7359437751004,1709,733,732,-263,-264,-1547,976,995,1283
"chr1",58782358,"JUN","ENST00000371222.4",1.71586345381526,1689,713,712,-283,-284,-1567,976,995,1283
"chr1",58782370,"JUN","ENST00000371222.4",1.70381526104418,1677,701,700,-295,-296,-1579,976,995,1283
"chr1",58782378,"JUN","ENST00000371222.4",1.69578313253012,1669,693,692,-303,-304,-1587,976,995,1283
"chr1",58782382,"JUN","ENST00000371222.4",1.69176706827309,1665,689,688,-307,-308,-1591,976,995,1283
"chr1",58782395,"JUN","ENST00000371222.4",1.67871485943775,1652,676,675,-320,-321,-1604,976,995,1283
"chr1",58782403,"JUN","ENST00000371222.4",1.67068273092369,1644,668,667,-328,-329,-1612,976,995,1283
"chr1",58782418,"JUN","ENST00000371222.4",1.65562248995984,1629,653,652,-343,-344,-1627,976,995,1283
"chr1",58782430,"JUN","ENST00000371222.4",1.64357429718876,1617,641,640,-355,-356,-1639,976,995,1283
"chr1",58782433,"JUN","ENST00000371222.4",1.64056224899598,1614,638,637,-358,-359,-1642,976,995,1283
